HGNC approved symbol,Product,Function,Protein complex,Target entity,HGNC approved name,UniProt ID (human),Pfam domains,UniProt ID (mouse),Modification
A1CF,U,RNA modification,APOB_mRNA_editosome,"mRNA, mC",APOBEC1 complementation factor,A1CF_HUMAN,"DND1_DSRM PF14709 445-523, RRM_1 PF00076 58-127 138-203, RRM_6 PF14259 233-297",A1CF_MOUSE,RNA deamination
ACINU,#,RNA modification,#,mRNA,Apoptotic chromatin condensation inducer in the nucleus (Acinus),ACINU_HUMAN,PF16294;PF02037,ACINU_MOUSE,Alternative splicing
ACTB,#,Chromatin remodeling cofactor,"BAF, nBAF, npBAF, PBAF, SWI/SNF-like EPAFB, bBAF, SWI/SNF BRM-BRG1, NuA4, NuA4-related complex",#,"actin, beta",ACTB_HUMAN,Actin PF00022 2-375,ACTB_MOUSE,#
ACTL6A,#,Chromatin remodeling cofactor,"BAF, npBAF, PBAF, SWI/SNF_Brg1(I), SWI/SNF_Brg1(II), SWI/SNF_Brm, SWI/SNF-like_EPAFa, WINAC, SWI/SNF-like EPAFB, SWI/SNF BRM-BRG1, Ino80, NuA4, NuA4-related complex, SRCAP",#,actin-like 6A,ACL6A_HUMAN,Actin PF00022 8-429,ACL6A_MOUSE,#
ACTL6B,#,Chromatin remodeling cofactor,"BAF, nBAF, PBAF, SWI/SNF_Brg1(I), SWI/SNF_Brg1(II), SWI/SNF_Brm, SWI/SNF BRM-BRG1",#,actin-like 6B,ACL6B_HUMAN,Actin PF00022 8-426,ACL6B_MOUSE,#
ACTR3B,#,Chromatin remodeling,#,"H2A, H3, H4",ARP3 actin-related protein 3 homolog B (yeast),ARP3B_HUMAN,Actin PF00022 3-412,ARP3B_MOUSE,#
ACTR5,#,Chromatin remodeling,Ino80,#,ARP5 actin-related protein 5 homolog (yeast),ARP5_HUMAN,Actin PF00022 30-570,ARP5_MOUSE,#
ACTR6,#,Chromatin remodeling cofactor,SRCAP,#,ARP6 actin-related protein 6 homolog (yeast),ARP6_HUMAN,Actin PF00022 1-395,ARP6_MOUSE,#
ACTR8,#,Histone modification read,Ino80,#,ARP8 actin-related protein 8 homolog (yeast),ARP8_HUMAN,Actin PF00022 43-621,ARP8_MOUSE,#
ADNP,#,Chromatin remodeling cofactor,#,#,activity-dependent neuroprotector homeobox,ADNP_HUMAN,"Homeobox PF00046 765-813, Pfam-B_10803 PB010803 691-762, Pfam-B_21724 PB021724 921-1100, Pfam-B_29916 PB029916 615-646",ADNP_MOUSE,#
AEBP2,#,Histone modification write cofactor,PRC2,#,AE binding protein 2,AEBP2_HUMAN,"Pfam-B_22101 PB022101 1-79, Pfam-B_8048 PB008048 401-515, zf-H2C2_2 PF13465 315-341",AEBP2_MOUSE,Histone methylation
AICDA,hmU,DNA modification,APOB_mRNA_editosome,"ssDNA, hmC",activation-induced cytidine deaminase,AICDA_HUMAN,APOBEC_N PF08210 11-181,AICDA_MOUSE,DNA demethylation
AIRE,#,"Histone modification read, TF",#,"H3K4, H3K4me3, DNA motif",autoimmune regulator,AIRE_HUMAN,"PHD PF00628 298-343, Pfam-B_9104 PB009104 481-543, SAND PF01342 189-249, Sp100 PF03172 1-106",AIRE_MOUSE,#
ALKBH1,"C, A","RNA modification, DNA modification",#,"m3C, m1A of mRNA",Nucleic acid dioxygenase ALKBH1 (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 1) (Alpha-ketoglutarate-dependent dioxygenase ABH1) (DNA 6mA demethylase) (DNA N6-methyl adenine demethylase ALKBH1) (EC 1.14.11.51) (DNA lyase ABH1) (EC 4.2.99.18) (DNA oxidative demethylase ALKBH1) (EC 1.14.11.33) (mRNA N(3)-methylcytidine demethylase) (EC 1.14.11.-),ALKB1_HUMAN,PF13532,ALKB1_MOUSE,"DNA demethylation, RNA demethylation"
ALKBH1,#,Histone modification,#,H2A,"alkB, alkylation repair homolog 1 (E. coli)",ALKB1_HUMAN,2OG-FeII_Oxy_2 PF13532 98-344,ALKB1_MOUSE,#
ALKBH4,A,DNA modification,#,m6A of DNA,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 4 (Alkylated DNA repair protein alkB homolog 4) (DNA N6-methyl adenine demethylase ALKBH4) (EC 1.14.11.51) (Lysine-specific demethylase ALKBH4) (EC 1.14.11.-),ALKB4_HUMAN,PF13532,ALKB4_MOUSE,DNA demethylation
ALKBH5,A,RNA modification,#,m6A of mRNA,"alkB homolog 5, RNA demethylase",ALKB5_HUMAN,PF13532,ALKB5_MOUSE,RNA demethylation
ANKRD32,#,Histone modification read,#,H2AXS139,ankyrin repeat domain 32,ANR32_HUMAN,"Ank_2 PF12796 783-871 845-931, Pfam-B_101142 PB101142 932-1056, Pfam-B_12624 PB012624 231-430, Pfam-B_18156 PB018156 1-229, Pfam-B_81366 PB081366 641-782",ANR32_MOUSE,#
ANP32A,#,Chromatin remodeling cofactor,#,#,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member A",AN32A_HUMAN,LRR_9 PF14580 17-166,AN32A_MOUSE,#
